	text_id	text	label	label_id
29	30	suck assume guess surprised hear guy guess folk read post agree kind doubt agree point time baseball reply bring baseball ground sex wasn promote major game hand experience ability talk show point call ball strike miss point role game promote primary role call safe primary function maintain order game game move player kill extremely tough people man woman deserve major command command game command	rec.sport.baseball	10
30	31	lucky dog apply equal force early version recently author decide important mention refer request default attribute window warning read provide border default border valid window depth doesn match parent border correct depth border problem problem find make sense border implementation define conversion wire format border implementation provide type fair catch mouse	comp.windows.x	1
31	32	hell learn stand vice stay blow	alt.atheism	17
32	33	wait minute agree people responsibility behavior assume word account behavior community talk lot trouble theory social behavior justice charge duty responsibility account action person	talk.politics.misc	6
33	34	question file download install didn work addition eliminate file install eventually send model hear feel buy pointer greatly	comp.os.ms-windows.misc	16
34	35	band police month recently purchase month perfect job fairly pick car magazine read super late generation cover series cover usual band point return increase power fast fast average home concern make sense upgrade month purchase upgrade equipment worth upgrade market purchase month wait time protection life simple band good equipment market shop hope band super business	rec.autos	4
35	36	follow sale perfect condition time heart number hit great hit super hit include rise good time make night line put hand hand stay time anymore	misc.forsale	0
36	37	window time popular start thing world fact win news popular opinion related topic color correct oppose term world term window refer time accept window valid term term window system face product sale people respect product important short title deal average thought software engineer window worry call window system plain point message issue face community worry window system system fine agree careful interpret trade paper conclusion basis window system	comp.windows.x	1
37	38	enable print card slot hardware enable easily kind plug play	comp.sys.mac.hardware	13
38	39	baby stone accord plenty stone bad	sci.med	5
39	40	satellite fuel regular orbit correction fuel run crash month orbit change mission day stable orbit field map earth minor issue low big problem moon field distribution mass moon	sci.space	18
40	41	service machine thing start error message problem machine concerned don love computer response mail read net post	comp.sys.ibm.pc.hardware	14
41	42	kind interpretation apply story homosexual behavior rape cite context read story amount charge homosexuality rape wrong slightly argument homosexuality behavior rape review story state angel man part city young surround house call lot man bring sex rest story angel refer man lot man find guilty sin angel visit city clear sin involve homosexual sex man group public simply show degree homosexuality understanding creation story story create male relationship male man leave father mother wife relationship sexual relationship protect man woman picture relationship church find word sexual relationship man woman find derive express code give homosexuality neighbor wife rape man regard relationship regard homosexuality simply opinion contrary purpose create male doubt show corner usenet world verse read total ignorance issue raise charge child abuse mind manage red suppose great force reader witness trouble find response	soc.religion.christian	2
42	43	assume build sport bomb point extra drop tank full follow material fly technology require actual flight	sci.space	18
43	44	people lay figure report official figure statistic stop government month ago budget cut information publish magazine	talk.politics.misc	6
44	45	change law chip reverse engineering law possibly valid contract algorithm court case rule information identical information obtain source exception weapon information	sci.crypt	12
45	46	information reply mail lot advance	sci.electronics	8
46	47	finally receive information imagine ship version software release version upgrade purchase imagine cost upgrade call info shipping require card reply product receive reply money info find sheet send reply	comp.graphics	15
47	48	stand stand video stand video correct	comp.sys.ibm.pc.hardware	14
48	49	time refer year doctrine true seal case doctrine year vision year	soc.religion.christian	2
49	50	read clipper announcement net day lot chip government follow question clipper chip implement algorithm implement chip chip communication implement communication chip chip spec sheet obtain purchase condition restriction chip system security algorithm encrypt communication require family key secret secret happen family key secret make traffic analysis difficult law enforcement message random information random chip program reveal unit key chip serial number programming	sci.crypt	12
50	51	plan stage version scheme year haven hear win recently read work early result win guess clear fund continue development good fit exist stage block set inside launch load survive launch bad thing pretty good thing require support road track facility add stage build support system facility doubt great cost system law political problem solve addition mention	sci.space	18
51	52	person belong research lab company claim conversation give equipment lab crack ticket minute hour access powerful hardware kind attack amount ticket small message year ago longer encryption datum lot purpose	sci.crypt	12
52	53	put change field produce voltage move move slow earth field significant weak earth field begin require generate large field earth field force work direction field generate powerful drop earth field surface weak require sort unknown special electronic computer danger significant content blood thing word forget miss satellite thread sound totally bit	sci.space	18
53	54	gun legal system thing hard time explain apply force force wouldn bullet shoot good defense hand improve legal point hold court safe safe innocent rule safe military hard ball shoot time point stop job rule wound channel chance survive incident	talk.politics.guns	11
54	55	company compress kind encryption process change byte thing window	sci.electronics	8
55	56	case eye law aware capability action individual hold responsible action driver car hold murder ignorance law excuse individual hold material witness crime criminal charge individual ground person	talk.religion.misc	3
56	57	game win pen playoff tie win meet pen final year game regular season personally fan year kind trade suggest exist win year piece paper defense	rec.sport.hockey	9
57	58	great book call serve info info armed player draft player war draft medical reason interesting story book write suggest read interest baseball	rec.sport.baseball	10
58	59	faq call complain find number hockey cut long people day contract explain piece paper show baseball game happen business money commercial run baseball game business personal video put positive broadcast write run playoff product future love hear stuff future buy commercial time hockey game give network carry game people great hockey big	rec.sport.hockey	9
59	60	aren sense rocket term rocket engine user rocket describe call high power rocket small model rocket make plastic engine engine engine engine letter double maximum engine size pretty engine size ship class control engine size ship class control class engine btw engine model rocket engine class engine legal society rocket society hold event site year include care concerned engine involve society user company sell individual bottom line suggest send forget	sci.space	18
60	61	game final post game day manage email lose night miss mail arrive early morning people send team receive reply back team list team kind proof send weekend case fun trust person honest hope fun playoff draft great give money head dead team die machine team pen mind man brother dog king promise land ranger load weapon star research make belief soldier bear attack ranger ranger canadian star ice make expert force grant circle man dream play pick ice fan wait bet fly high team star pen arm power play end team select require chip king	rec.sport.hockey	9
61	62	table service mind read post attack half truth dangerous complete lie complete lie accept half truth lie hide offer angel light people treat earth health future generation base treat respect leave error reject style push people opposite error earth mother primarily love serve response care environment treat proper respect health future generation show thing call thing man save forget environment important thing spend time put foot mouth manner destroy express thing important show show point great show	soc.religion.christian	2
62	63	begin make remember movie hour long end universe remember message earth transmit day launch time catch point time space release american store show show call day	sci.space	18
63	64	press release text letter speaker pro part continue effort fully inform provide report consistent section war power resolution action order support effort begin resolution address act resolution establish ban military flight violation ban village bomb response violation decide resolution extend ban flight member state act measure ensure agree provide air enforcement fly zone decision proceed operation deny flight order deliver participate support decision direction staff send execute order force participate force conduct air operation prevent flight force operation consist support enforcement operation accomplish mission position force establish cap station control early warning cap operate basis enter approach fly zone identify monitor turn order step result fly zone engage basis proper military authority approve rule expect action operate ensure concern force fully rule approve predict time long operation direct armed force participate operation authority support give effort forward continue move forward goal region	talk.politics.misc	6
64	65	evidence back claim require phone	talk.politics.guns	11
65	66	fact atheist eliminate reading public school year ago stop reading gospel campaign remove program public school true mail express request reference number	talk.religion.misc	3
66	67	program check window system disk	comp.os.ms-windows.misc	16
67	68	today warranty replacement card notice change label card work show simply connect line pin part bus question simple people manual claim reference function line related note site reference bus manual simple pin signal	comp.sys.ibm.pc.hardware	14
68	69	follow thought meet discuss commercial space receive call schedule meeting local start hour hear end phone quickly back hour conversation learn standard minute standard treatment call back schedule meeting order determine material screen make time material hour end talk minute end meeting listen cover lot ground bit specific single stage vehicle woman note topic bring speak local citizen space spend lot time cover low cost access solar power satellite big focus hit low cost access hit stand hit leave copy paper side note space hit study space potential lead understanding hit education kid space find hell field low cost orbit chance provide great hit hard class hit launch vehicle business hit low cost satellite launch personal service job provide job provide build thing balance trade improvement mention low launch cost leave paper technology order make easy question point end aware effort proceed area make result effort lose fund effort line cost middle give resource data guy file interested question jump contact people involve happen thing make lot people space town feel free call time question didn answer question people answer finally list interested time problem schedule state week day feel pretty good job	sci.space	18
69	70	accord hand feel aspect note car blow respect good bunch wheel time day year good luck feel free add collection	rec.autos	4
70	71	write switch back baseball hockey state show period turn back hockey great pull watch period end back baseball back minute hockey baseball time bother sign secret draft broadcast	rec.sport.hockey	9
71	72	son usual buy face usual good product call doctor treatment couple odd spot father figure kid eventually put treatment treatment son sort cap pointer advice couple anti make condition bad kid	sci.med	5
72	73	good research advantage state include occur man personal poor personal include procedure pain pull top head post discover research paper topic research class school decision parent parent friend wrong difficult male major procedure exist long break problem sit water recommend home impossible guarantee safety public hot nice back kill possibly avoid hope tip	sci.med	5
73	74	record wasn college time remove key car move pop lock door night discover year worth live fear day move back weekend student apparent reason year aid add bet remember guy talk define stay report weekend	talk.politics.guns	11
74	75	thought clear homosexual support law force homosexual attempt private act adult leave discuss statistic discuss idea idea good seek individual government adult group freedom relate total individual community freedom people live perfect economic condition perfect number potential skill place buy good argument lead amount liberty community large part population support homosexual large part population support law pass	talk.politics.misc	6
75	76	assume large doesn balance care detail engine configuration automatically cross car consideration large balance good rule mind decent engine noise bug sell	rec.autos	4
76	77	red wire tip green wire standard phone line wire voice telephone live line connector phone measure voltage red green ring tip tip green ground potential read hook ring position doesn hurt phone reverse bad happen ground earth ground hook voltage drop suppose current ring wire develop potential	sci.electronics	8
77	78	surrender arm officer collect resistance useless absolutely fall wonderful	talk.politics.guns	11
78	79	point strongly assure continue remain free threat bad happen waste time effort bad happen prefer doesn hard maintain freedom century manage maintain state freedom suggest future good thing	sci.crypt	12
79	80	simple principle gas water give cool effect heat gas give gas form cycle problem cop low	rec.autos	4
80	81	understand problem correctly send manager widget app specific code draw graphic window sound send region region send generally object create region add object region region test object mind order object affect hope important	comp.windows.x	1
81	82	bring sport give opinion city good sport coverage term print medium general question compare	rec.sport.baseball	10
82	83	true rest distance black hole time reach reference frame time reach predict	alt.atheism	17
83	84	recently notice check ram leave reveal normal system file bar imply system give crash software problem	comp.sys.mac.hardware	13
84	85	lack food sense eat food happen stage stage treatment	sci.med	5
85	86	bike blue color speed easily convert complete bike good offer offer bike time call measure part write detail	misc.forsale	0
86	87	bad violation rule supposedly follow change personally concerned daily routine people opinion refuse listen idea exercise	alt.atheism	17
87	88	real matter lot source theory number place text copy copy tend reflect error point people begin copy text problem accurate transmission begin point text text add situation end mark material lose part change exist text basically make people game telephone transmission text wrong text transmit	alt.atheism	17
88	89	point simply divide world atheist atheist basis care belief belief start talk lead bad people bad thing assume area care critical hand easily lead worship person easily lead worship belief point	alt.atheism	17
89	90	bit year ago discover produce pain area repair method plug patch doctor procedure success month pain return doctor find wrong area repair pain occur identify specific problem perform original procedure area cut area repair time question net method determine fact pain	sci.med	5
90	91	season ticket year complain place cold food line long hand part game stick place short eliminate wind lot line lot short clean run water hand light blow nice start top give great view stand complaint electronic electronic thing long time ago real figure customer back knock deal general public give level service change problem proceed fix machine clean machine glad day folk stand stand foot fun day	rec.sport.baseball	10
91	92	purchase video card call true color card provide color question find driver window color driver win work fine driver driver advance	comp.os.ms-windows.misc	16
92	93	low position single problem problem involve data good rule model big step alternative dark matter problem universe meet eye question datum regard time explain real detect lab	sci.space	18
93	94	serial port mouse port serial port directly sit mother install internal modem work number system lock hear ring system hang modem pin switch select port change setting switch system start work buy modem check system work fine serial port internal modem check machine work fine work machine find problem	comp.sys.ibm.pc.hardware	14
94	95	suggest give american concept easily demonstrate good hard die didn mother teach stand thing explain world record low american crime rate clear simple couple	talk.politics.misc	6
95	96	bank operate modern bank explain thread bank pay fix interest return vary accord market fix interest bank world bank include knowledge doubt market exist bank early stage development case bank pay fix interest rate answer question bank bank specifically set pay charge interest bank completely	alt.atheism	17
96	97	good canadian boy heart soul canadian	rec.sport.hockey	9
97	98	problem government file aren similar person violate federal local american law belong local american law reader interested content file nice american authority aren dangerous interest person trust government additional information send	talk.politics.mideast	7
98	99	problem problem problem case relate case surprise people disagree comment matter read report literature research hope give wrong idea medical student	sci.med	5
99	100	mouse run win window mode mouse doesn work greatly	comp.os.ms-windows.misc	16
100	101	yesterday friend local motorcycle dealer year buy bike dealer follow experience visit observation behavior customer sale background ride group friend type bike friend hell happen dealer sell place fairly bit happen sell sign friend bite friend start thing sport bike pull type type win inside figure back friend back notice talk manager lot joke big deal part concern shop customer back member fire ride point decide drive manager behavior point bet long pull ride street hour ride bike display quickly catch follow make hear feel point feel eye witness display dealer lot damn wheel friend feel leave turn ride clear hope cop follow home open mind doesn associate	rec.motorcycles	19
101	102	fairly high frequency loss recent test show loss fall type loss difficult fit leave lot desire recently opportunity test week independent program intend situation find improvement current aid ahead local free trial system call office minute compare head head read theory give separate posting carry patient decide ahead purchase month ago problem expensive aid trip difference hate spend money hard time opinion improvement technology aren expensive	sci.med	5
102	103	great ready sign effort push	sci.crypt	12
103	104	run window mhz meg memory motherboard meg add meg past weekend instal application menu park today park disk application menu problem attempt park head today receive message stop application violate system general protection fault message	comp.os.ms-windows.misc	16
104	105	recently disease find information apparently body production time highly	sci.med	5
105	106	faq source kind info station upgrade station power supply floppy disk drive big case monitor drive rom reader question motherboard case original controller hard disk remove control device pay controller win work make scsi rom scsi work station hear cheap sound board scsi controller build quality board scsi control cost site driver rom driver hook board make quality station cost worth buy station buy keyboard input	comp.sys.ibm.pc.hardware	14
106	107	core feel guilty single save feel secret feel guilty mistake huge feel hang thing happen wrong learn mistake clear type order adjust religious doctrine type opposite easily attach world view system speak life fun recognize perfect life human notion nice thing finally huge feel cheer	talk.religion.misc	3
107	108	company develop application virtual pen trace screen test application number computer discover performance difference product performance lead color performance apple line result fast color perform computer apple make color line line comparison difference computer explain graphic processor performance	comp.sys.mac.hardware	13
108	109	originally call people disease level official disease place internal medicine call clear sort people wrong thing people thought worth center theory include sort discover moment thing amount info condition day post alt fact	sci.med	5
109	110	rom drive drive make offer trade	misc.forsale	0
110	111	upgrade monitor handle accord thing	comp.sys.ibm.pc.hardware	14
111	112	people atheism reason suspect word small person understanding grow develop eventually image joke friend suggest client fire understanding make room full follow encourage guess lot folk process support	soc.religion.christian	2
112	113	addition time leave thing run double fax machine original subject reply clock date logic run month recently month notice clock problem state date doesn roll notice clock minute generally run win clock print manager word file manager program manager random screen generally run	comp.sys.ibm.pc.hardware	14
113	114	steal blue plate serial number engine number turn signal mirror light tape track session guess miss find baby	rec.motorcycles	19
114	115	information display feature feature adjust line display line low resolution device literature explain process extent give environment suggest modify line follow end end reading result end close actual comparison display find result stuff	comp.graphics	15
115	116	chance weekend word heart problem quick doesn justice depth book study period year stage life great deal meaning make point false primarily false understand base make trace page continue view promise part foreign power border territory background make reject death local deep understanding international event speak load meaning opinion burn compare depth	soc.religion.christian	2
116	117	law bad give police power put innocent people police find don understand police return key mind difference core file military secret plenty user idea proof user show normal citizen put situation easily people provide chip child drug dealer bad thing style time basically people clear criminal suspect find screw house insist build bomb machine gun prove claim explain simple term people start idea matter fact random file disk reason special purpose hardware long time generate good random bit program couple bit minute pretty time point encrypt random datum give random datum datum file put header people put arrest police key random win sit fact government burn cpu year find	sci.crypt	12
117	118	window wait install put list instal software didn load part software load install call problem question system conclude system software give back waste time energy folk support line nice extremely regard window experience installation learn function file send back decide version file version date date small small version supply move big version directory path reason system directory editor load application package main application load idea occur suggestion	comp.os.ms-windows.misc	16
118	119	make fairly clear style mhz cpu upgrade mention sale folk honest chain version time period year simply push year pretty good system design day age work lot hardware product design group mind push make clear day start shipping form graphic make graphic version pretty good send complaint letter support sale concern reason sale folk future upgrade customer upgrade long refer sale folk end pretty common industry wide result good deal customer push folk system aren force buy end don long lead time product opinion influence end product life industry design system meet win sell system product reality engine surely don expect system buy year period entire year period experience workstation support part late miss posting share level effect complaint aren ignore affect future plan hear similar thing person site usual personal opinion	comp.graphics	15
119	120	back proof shut back statement shut logic state homosexual report survey survey reason young people homosexual form large part group homosexual life consist sex eat logic suggest average gay man week argument carefully argument datum point depend type prove early post logical show define fact assumption back statement shut	talk.politics.misc	6
120	121	generate mail post school plan property rich school portion tax give property poor plan student imho wait happen taxis lose control tax money spend term exercise exercise	talk.politics.guns	11
121	122	wouldn religion long tax wrong attempt influence politic	alt.atheism	17
122	123	top team play year team top play spot fall year host finish surprise team play	rec.sport.hockey	9
123	124	true write version argument existence publish publish press translation volume fall collect work find summary thing article call proof book edit publish write article proof magazine faith philosophy discuss raise proof offer version proof	soc.religion.christian	2
124	125	location file host screen file file host location file host switch location file location software host pub file host host file host file host host pub graphic file host file	comp.graphics	15
125	126	today site post newsgroup stop post send article people post net mail hundred people	rec.sport.baseball	10
126	127	fan news effectively devil sport talk show sample fact playoff exist ranger fan call sport talk mix season give business interesting combination watch pay money put shut advice player move listen closely lot big player move happen remember rid country day give early sign support offer big money put shut back ranger head statement team advice	rec.sport.hockey	9
127	128	post choice fast path external choice make work properly local bus speed thing speed block video faster local bus time fast expensive cheap	comp.sys.ibm.pc.hardware	14
128	129	lack religion book read day reason describe origin jewish peace long short story people kill people trip solution lie nice solution spring mind agree religion kill large number people form manner originally intend doesn reduce number death directly religion minor observation fact universe act attempt find true meaning religious teaching time lead war people lead religious leader absolute truth drive kill leader point thing involve religion lead war thing part religion side effect result people switch religion atheism result religious group long involve majority part man history atheist hand social drive organize spread belief show true group clear specific religious obvious group reason religious belief system make hard basically war specifically fight religion choice key flame heat bottom	alt.atheism	17
129	130	great hear trip year time age post good bill form limited coverage great season	rec.sport.baseball	10
130	131	reference delete move thread put simply accept charge adult life belief state matter religion respect idea belong faith person choose put death good faith day year lose faith prove find atheism buy time arrive strike day person trust absolutely nature thing accept present dream character actual bad doesn present character bad light history life wife hold writing verse people accept version book find single convince read book claim show knowledge book story make event book eye proposal suggest call verse understand	alt.atheism	17
131	132	cap fan playoff score news	rec.sport.hockey	9
132	133	recall possibly longer display stuff display display	sci.space	18
133	134	problem trade year class give wing	rec.sport.hockey	9
134	135	back basic rule rule open rule make break issue rule word speak compare rule add current personal people time scripture confuse scripture scripture speak open speak today speak sense concept agree problem encourage correct scripture bring word form man live knowledge exact word scripture expect difference reading scripture powerful force regard	soc.religion.christian	2
135	136	crash pro run compress problem problem relate fill disk byte leave matter run time make space immediately work	comp.os.ms-windows.misc	16
136	137	post set follow line header depend kind advice give mail directly problem love summer spend minute time advice year build stone poor fellow care give head start year couldn find gas territory grow spread black mind turn kill spend time remove drink suppose black afraid season start stop win love advice stand wave arm follow advice product love middle thing work kill dead run house close door window problem advice	sci.med	5
137	138	motif bring server follow sequence action crash server report server lose problem graphic card fix problem apply part patch patch file didn apply scientific division good bad national center research thinking make sun patch problem mouse	comp.windows.x	1
138	139	difference hang year continue post great stat hell pitcher pretty doesn deserve flame	rec.sport.baseball	10
139	140	write belief original question regard christian stand	talk.religion.misc	3
140	141	assume statement fact interested hear evidence support claim study	talk.religion.misc	3
141	142	work question government move end target follow accomplish task task work suggest support genocide work evil worship faith	soc.religion.christian	2
142	143	read net day baseball individual long time simply impossible dream year short memory short life red fan subject abuse follow hot team statement support base increase number net true fan team team follow team good year year time leg care quick fact good team league year fan support time number play happen good bad chance win remember give chance make beat face baseball wonderful game absolute game	rec.sport.baseball	10
143	144	type problem point apple system file version fix kind sleep relate problem	comp.sys.mac.hardware	13
144	145	purchase win text mode app run window setting wrong problem advance	comp.os.ms-windows.misc	16
145	146	people government deserve worry sleep thought government approve list round execute	talk.politics.guns	11
146	147	faith show faith show faith	soc.religion.christian	2
147	148	surprised article subject survey man gay front page recently effect survey find man gay difference man gay man survey gay time survey survey show suppose survey poor assumption population year ago society homosexuality disclaimer statement reflect	talk.politics.misc	6
148	149	talk commercial space race year similar influence development sell memory serve totally expensive project multi engine project total cost amount strongly suspect realize work moon today	sci.space	18
149	150	debate gay argument basically imho matter million people regularly deny access personal security death threat happen personal experience gay people receive base political personal philosophy relate issue sexual week personally friend gay current form government theory day gay people local government police force part public society sense justice judge basis treatment people make society people include gay crime victim society part	talk.politics.misc	6
150	151	eat food hand experience problem work close eat food notice immediately eat avoid completely interesting fact child start experience exact hand understand eat love investigation favorite food main label surprised place find	sci.med	5
151	152	year deal problem current pretty bad locate middle bad usual treatment doctor time put contact protect area apparently problem common curious similar problem find	sci.med	5
152	153	government stop design strong encryption phone system company cheap encryption system trick book stop cheap secure phone impossible attach device phone network plug phone approve reason device time ago big market good technology build secure phone real voice seal block noise real speech	sci.crypt	12
153	154	fully agree god exist god exist point word bind definition strong weak atheism accord faq atheism belief existence atheist exist refer weak atheist position strong atheism important note difference position weak atheism simple existence strong atheism positive belief exist fall assume atheist strong atheist introduction atheism version modify faq pin notion belief	alt.atheism	17
154	155	practice solve problem kill raise question rest group bunch mass good instance poor good neighbor country people skill force remain kill kill good build wall lock citizen country load attack dog wire land mine people die give choice flight bad science person die cross wall woman shoot trial good kind waste time	talk.politics.misc	6
155	156	recently decide learn black art switch power supply flame place build basic pretty good result run problem design build put simple storage element single commercial model trace usual error full copy love manage low volume problem high good lack source component limited knowledge topic school mind fact cover answer dead commercial model understand bit mind theory care goal car battery end distance foot foot model year chance make	sci.electronics	8
156	157	split list exist list fail meet reader mention bike make list fact talk list great list restriction count hour initial post list make list oppose list set list early post announce list didn fit list back regular net noise read list	rec.motorcycles	19
157	158	drag anymore feel disease dog easy treat area give dog present recent paper finally establish disease dog control set matter fundamental requirement agent disease manufacturer prove disease exist paper regard animal treat dog week period occur month period show sign month observation period study prove sick patient show benefit drug treatment observation longer month disease human paper call question technique manufacturer world model develop order test independent sound year	sci.med	5
158	159	find true party involve church argue message put practice message find travel church movement accept back college student people year previous church key love area stand part common depth part christian focus church church thing involve lack didn care truth stand accord scripture split difference opinion previous note mention teach difference opinion belief scripture state follow meeting harm good place hear church division extent doubt difference show show act quality teach common glad heart enjoy favor people mention act show quality full faith act stone act church true church church perfect movement find close find movement error point correct totally sell occur hand occur church true remind mark state part main group begin lose hear numerous time exact thing part movement make people admit run quality movement haven warn sound group run extent problem division correct church group reason church internal people group head talk vote office office open step back degree start clue begin break warn division division	soc.religion.christian	2
159	160	folk give information location information reference material follow file format place question accept advance	comp.windows.x	1
160	161	question past year find share answer work hard cheer	rec.autos	4
161	162	friend find graphic software suggestion software buy buy cost software feature	comp.graphics	15
162	163	friend book sale change job loss interest gather pass price topic include programming language operate system topic digital signal processing computer graphic computer software engineering software database expert system list long post email request list update respond request lucky interested drop line	misc.forsale	0
