	F	I	tfidf	manual	H	H-tilde	H-tilde_std	N
act	0.00014801438699841625	-8.881784197001252e-16	6.109469780298887		3.321928094887362	3.3219280948873613	7.300048299977713e-08	10
acting	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
action	0.0001776172643980995	0.16666666666666652	6.560901382357703		3.4182958340544896	3.584962500721156	0.0	12
active	0.00013321294829857463	0.22222222222222276	7.124189998064733		2.94770277922009	3.1699250014423126	0.0	9
actively	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
actor	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
actual	5.9205754799366496e-05	-2.220446049250313e-16	7.025760512173042		2.0	1.9999999999999998	2.1073424255447017e-08	4
actually	0.0005328517931942985	0.05555555555555447	4.995469863569333	1.0	5.114369445886757	5.169925001442311	8.429369702178807e-08	36
actuallyhappene	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
actuallystickingtoit	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ad	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832		2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
add	0.0001776172643980995	0.0	5.927148223504932		3.584962500721156	3.584962500721156	0.0	12
addict	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
addicted	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
addiction	7.400719349920812e-05	0.39999999999999947	8.782200640216303		1.9219280948873623	2.3219280948873617	4.2146848510894035e-08	5
address	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ade	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adele	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adhere	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adidas	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adifference	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
admission	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
admit	5.9205754799366496e-05	0.4999999999999998	9.751256779499762		1.5	1.9999999999999998	2.1073424255447017e-08	4
adopt	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
adoptarescue	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adorable	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
adult	8.880863219904975e-05	-4.440892098500626e-16	6.620295404064877		2.584962500721156	2.5849625007211556	4.2146848510894035e-08	6
advance	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
advantage	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
adventure	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096		3.0	2.9999999999999996	5.960464477539063e-08	8
adventuresinchemistry	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
advice	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096		3.0	2.9999999999999996	5.960464477539063e-08	8
advise	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
advocate	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
af	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
affect	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
affirmation	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
afford	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
afraid	0.00010361007089889138	8.881784197001252e-16	6.466144724237619		2.807354922057604	2.807354922057605	0.0	7
africa	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
after	0.0006512633027930314	-0.027272727272727337	4.627865239374671	1.0	5.459431618637297	5.43215889136457	0.03015113445776265	44
afternoon	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
again	0.0010805050250884385	0.0136986301369868	4.19282470919739	1.0	6.162427298606045	6.176125928743032	0.018378640910521576	73
against	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
agamemnon	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
agameofthrone	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
age	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096		3.0	2.9999999999999996	5.960464477539063e-08	8
agent	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
agentsof	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ago	0.0001776172643980995	0.0	5.927148223504932		3.584962500721156	3.584962500721156	0.0	12
agood	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
agree	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
ah	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ahead	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832		2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
ahhhh	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ai	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
aid	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
aim	0.00010361007089889138	8.881784197001252e-16	6.466144724237619		2.807354922057604	2.807354922057605	0.0	7
aimhigh	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
aiminghigh	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
air	5.9205754799366496e-05	-2.220446049250313e-16	7.025760512173042		2.0	1.9999999999999998	2.1073424255447017e-08	4
airflare	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
airline	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
airplane	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
airport	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ait	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
aj	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ajournalist	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
aka	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
albert	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alcohol	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096		3.0	2.9999999999999996	5.960464477539063e-08	8
alcoholic	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alcorn	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alexa	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alexander	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alittle	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alive	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
all	0.0032119121978656327	0.026728110599078647	3.187221889130155	1.0	7.687818513550471	7.714546624149549	0.01770449097886617	217
allergic	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alley	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alllllll	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
allnapsallthetime	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
allow	0.00011841150959873299	0.24999999999999956	7.389879684842993	1.0	2.75	2.9999999999999996	5.960464477539063e-08	8
almir	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
almond	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
almost	0.00019241870309794111	-8.881784197001252e-16	5.847105515831395	1.0	3.700439718141092	3.7004397181410913	8.429369702178807e-08	13
almostdone	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
almostthere	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alone	8.880863219904975e-05	0.33333333333333304	8.163140353030599	1.0	2.2516291673878226	2.5849625007211556	4.2146848510894035e-08	6
along	7.400719349920812e-05	0.39999999999999947	8.782200640216303	1.0	1.9219280948873623	2.3219280948873617	4.2146848510894035e-08	5
alot	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832		2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
already	0.0007400719349920812	-0.019999999999999574	4.500031867864786	1.0	5.643856189774724	5.623856189774725	0.019999999999976693	50
alright	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
also	0.0003700359674960406	0.07999999999999918	5.452084419734362	1.0	4.563856189774724	4.6438561897747235	8.429369702178807e-08	25
altanta	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alternate	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
alternative	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
always	0.0007992776897914477	-0.018518518518519045	4.423070826728658	1.0	5.754887502163468	5.736368983644949	0.01851851851861115	54
am	0.00010361007089889138	8.881784197001252e-16	6.466144724237619	1.0	2.807354922057604	2.807354922057605	0.0	7
aman	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amanda	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amazed	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amazing	8.880863219904975e-05	-4.440892098500626e-16	6.620295404064877		2.584962500721156	2.5849625007211556	4.2146848510894035e-08	6
amazon	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ambidextrous	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ambition	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
ambitious	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
ambivalence	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amd	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amen	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
amend	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
america	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
american	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
americanmusclecar	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
americans	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
amnt	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
among	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
amount	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
amp	0.0032415150752653156	0.13698630136986178	3.455098674389136		7.583006237683366	7.719992539053227	0.01780236410080923	219
amp;friend	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amplify	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
amreade	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
amwrite	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
amwriting	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832		2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
amwritingfantasy	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
an	0.0012433208507866965	0.02857142857142847	4.103026738858647	1.0	6.344698375159713	6.373269803731142	0.023328473740722513	84
ana	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
analysis	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anarchy	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
and	0.013735735113453027	-0.06597355604567312	1.7993925389676457	1.0	9.7003682122542	9.634394656208526	0.015634405057664943	928
andrewwwwe	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
andwhat	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
angel	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
angeles	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
anger	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
angie	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
angle	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
angry	8.880863219904975e-05	0.33333333333333304	8.163140353030599		2.2516291673878226	2.5849625007211556	4.2146848510894035e-08	6
angularjs	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
animal	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
animalsanctuary	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
animation	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anime	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
ankle	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anne	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
announcement	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
annoy	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
annoying	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
annual	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
annually	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anon	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anonymous	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
another	0.0003700359674960406	-0.016000000000000902	5.1931790484247315	1.0	4.643856189774724	4.6278561897747235	0.03200000000007151	25
answer	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
ant	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anthem	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anthony	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
antisocial	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
antother	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anxiety	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
any	0.0008436820058909726	0.02807017543859569	4.4650371679606	1.0	5.797802294866496	5.825872470305091	0.014035087719819627	57
anybody	0.00011841150959873299	-4.440892098500626e-16	6.332613331613096	1.0	3.0	2.9999999999999996	5.960464477539063e-08	8
anymore	0.00016281582569825786	-0.01818181818181852	6.014159600494562		3.4594316186372973	3.441249800455479	0.05454545454546675	11
anyone	0.0004144402835955655	0.0	5.079850363117728	1.0	4.807354922057604	4.807354922057604	0.0	28
anything	0.0003256316513965157	-0.009090909090908816	5.3210124199346165	1.0	4.459431618637297	4.4503407095463885	0.027272727272643817	22
anytime	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
anyway	7.400719349920812e-05	-4.440892098500626e-16	6.802616960858832	1.0	2.321928094887362	2.3219280948873617	4.2146848510894035e-08	5
anyways	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
ap	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
apart	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
apartment	8.880863219904975e-05	-4.440892098500626e-16	6.620295404064877		2.584962500721156	2.5849625007211556	4.2146848510894035e-08	6
aplan	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
apologize	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
apology	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
apostrophe	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
app	0.00010361007089889138	8.881784197001252e-16	6.466144724237619		2.807354922057604	2.807354922057605	0.0	7
apparently	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
appeal	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
appear	1.4801438699841624e-05	0.0	8.412054873292933	1.0	0.0	0.0	0.0	1
apple	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
apples	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
application	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
apply	5.9205754799366496e-05	-2.220446049250313e-16	7.025760512173042		2.0	1.9999999999999998	2.1073424255447017e-08	4
appointment	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
appreciate	0.00013321294829857463	4.440892098500626e-16	6.214830295956713	1.0	3.169925001442312	3.1699250014423126	0.0	9
appreciated	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
appreciation	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
approach	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
appropriate	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987	1.0	1.0	0.9999999999999999	1.0536712127723509e-08	2
approval	2.9602877399683248e-05	-1.1102230246251565e-16	7.718907692732987		1.0	0.9999999999999999	1.0536712127723509e-08	2
april	4.4404316099524875e-05	2.220446049250313e-16	7.3134425846248226		1.584962500721156	1.5849625007211563	0.0	3
apro	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
apt	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
archer	1.4801438699841624e-05	0.0	8.412054873292933		0.0	0.0	0.0	1
