text_id	text
1392	my to pray more , to lift people up who need the lord .
4528	name all my child child
4923	my new years resolution be to get my grade up , be fit and healthy , be myself ? ? ? ? ?
4803	to lose weight and buy more pretzel dog haha ! addict to auntie anne 's .
3241	i can promise that i will never let myself get this way ever again . never ever ever .
4009	i??m make my now i??m not make any resolution .
3339	and i forgot to go to bed . i think i know what my will be ...
3221	do not forget lesson learn and good time have in and skinny dip as often as possible .
2112	my new year resolution be to make my momma proud of i . i will
1175	i wanna know god as well as i know my significant other , what make he happy , know what make he upset .. believe ? ? ? ? ?
4865	shave evans mustache
4275	my be more simple w texting . one sentence text reply ? ? ? gonna b hard for i ? ? ? ? ? ?
1868	happy new year have a great time with mikehardlemonade pinklemonade newyearskiss be to stop smoke ? ? ? ? ?
2615	new years resolution be nice to boy
3868	let us all enter with a positive mind ! prayer , blessing , prosperity and hug around for everyone ! new years resolut ? ?
4926	and while i be all for self improvement , i do not need your yoga , crossfit , sobriety and kale shove down my throat
3780	be go to be the year of mike . so many change , who know , maybe i will get bang too ! ! jk
4679	want to take the moment to say that after i will stop stalk people ? ? ? ? ? ?
2417	my new year resolution be to not complain so much , but this super sized hangover be make that really hard
71	. love well
4883	get the dead skin off my foot .
1127	leave the fake people behind .
4026	... consistency !
3251	my , be to be a well person from all angle ! and do not let anything change i , no matter what !
3903	how crazy be it allow other to dictate ur movement if someone try and bring u down use they as a stepping stone ? ? ? ?
1096	my be to become a british pop singer . one direction make i realize that would make my life about time easy .
4134	blog more
1213	go for a run every day in ! ! ! ! !
3923	# stop run away from my problem they re come to get you barbara nightof the living dead
1426	learn from yesterday , live for today , hope for tomorrow . albert einstein
3067	new years resolution actually finish watch the gossip girl series on netflix .
4522	let us change the perspective this year
2101	new years resolution start be happy with what i have and work on on my anxiety . i have so much to be happy about and i be so blessed . ? ?
808	my be to become close with god .
4558	campbells shark fin soup
3752	see video of my family play the guitar , sing and be musically talente be motivate i to really learn the guitar .
1363	happy new year all ! my resolution ? focus on my eventual move to seattle . goals
2318	my new years resolution be to not have a new years resolution .
4383	will be the year i figure out where the gym i have belong to for five year be locate .
4568	first day back in the gym . be about to be a big year lafitness earlystart ? ?
1026	happy new year ! how about a for the planet ? i support with a daily tweet . ? ?
3110	ya new years resolution eat well
2111	dontfumble ? ? new year resolution
1042	my be to eat more nachos . i have be neglect they
1877	i will be work at a film studio
882	drink no water save water
4302	like i m a be a good kid . honest , loyal , honor roll kinda shit ? ?
1193	my be to learn every dance routine of theinlivingcolor flygirl happy new year
4590	open to new possibility ! celebrate the miracle of be alive ! expand the circle of justice and inclusion ! new year
4513	do a lil ' zip - lining twinkle tour tthru the santa cruz mountain and trees redwoodcanaopytours bucketlist
3672	my new years goal inspire and help people get in shape . i want to motivate , not just be antother meathead in the gym .
625	i will not leave the toilet paper roll empty
2797	new years resolution go to disneyland more .
3695	; be apart of a big ass crew ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
4971	thank to
234	stop eat over your laptop .
4569	new year , new i . i be get a boob job in .
1663	a new year , a new i ! ! just kid . hahaha .. blah blah blah
416	also , start and sustain one of my podcast idea ! it will be a fun one )
4249	need to move forward with a great idea that be just right for the future
2174	new years resolution refer to all friend as my good friend
1457	; - start career . - set weekly goals . - less junk food soda - smile more - meet new people
747	hashtagoftheweek my be to give up drinking diet soda ! i love it so much so it be go to be tough (
18	go to more show where you will get wet be warn before hand .
1201	my be to be more patient and not blow up so easily ? ? ?
1700	to stay lowkey and happy
3254	my be to not read the comment section . food blog exclude because people who comment on recipe be always polite .
597	. ) reflect on each day in a journal success , struggle , goal ( no length requirement )
3227	love myself more
4408	i do not even remember .
4722	know my fault and what to change myself be the good way to start
1506	big hair do not care ! ! !
1413	it be ! ! time to be more productive
1966	wake every morning with a story to tell ? ? ? partypartyparty
372	my be to impregnate my girlfriend little garcia ummm no ...
1341	i have one there be no such thing as too much queen . happy new year .
599	be to not lose game of beer pong in with
239	continue to date hilariously out of my league so when it inevitably fail it do not hurt so bad .
3401	i will start let my love overpower my fear . happyheart
2068	my be to run a my motivation ckokickboxing
811	from the . go to college and play baseball .
1095	save my money ? ? ? ? ?
4327	plus i have a deep need to make perfect skirt steak this year happy new year
4485	i be definitely go to be more careful about who i associate myself with .
4215	need to get back to my root with the people who stick by i these past few year
3465	crepe slap with
3104	well , after careful consideration , much pondering & amp ; self reflection , i have decide my new years resolution be to continue be awesome .
2750	tell my grandma my new years resolution be to eat healthy & amp ; she make homemade fried chicken , chicken gravy , potato & amp ; apple pie ? ? ?
2296	barely noon and i have already break new years resolution not to use the lords name in vain while rummage thru my ex girl ? ?
4194	plan to take a moment out of each day to stop and smell the rose . count our blessing one by one
4478	behind on my step today ! well hit a lap around the block ! fitbit
3019	? ? ? she be my new years resolution
4255	just make my to - do list for tomorrow my be to spread my work out .. not wait until its in a massive pile (
804	? ? ? got to set the bar high ? ? actually do this
4886	no more raman shop , chicago .
3707	go to the gem
752	new years eve yeaaaah ! perfect self flipping pancake , and invent non - breakable egg .
4647	new year 's resolution ? to start a band and start write new material . unrealistic goal ? get notice by a record label .
2532	welp , i have complete my first new years resolution , i clean house . hahaha
622	the only , only resolution i will make be to sleep more .
2298	new years resolution- to say sorry to everyone i ever hurt or be mean to and make thing right with they all ? ? ? ? ? ? ?
3631	new years resolution for next year smile more .
567	more cocaine , more beer , more beard ? ?
1136	my be to be a nice person , but also maintain my current level of sass and bitchiness . that s a thing , right ?
1205	make seek god and grow in your prevenient grace your resolution . claim in the name if god ! god
1048	i would like to eat pound of redmeat per day . bestolution manolution
52	to stop write for sexual favor in the memo line of all my check .
3653	christmas alone this year , again . i have decide to work on my , play dai and eat cake and wine . notabadthe
1045	finish book two by march , work on book three , not jump off a bridge amwritingfantasy steampunk
2182	my new years resolution be to have one chin
2689	new year resolution be more cute ( like its possible )
535	stay fit , love more , study well , avoid laziness and make new friend be my
3185	stop give a fuck what people think about you . you turn this year , time to start live for yourself .
3859	holland road be packed . be start early , i guess !
444	. exercise . smile more . i hate cat . ? ? ? . sacrifice a virgin to the dark lord to ensure a bountiful harvest
3606	this will be i come the new year
196	can not wait to release some new music in !
1116	recruit more people to .
766	so my for be to become more ambidextrous , i hate feel like my left hand be just there hahaha ? ? ?
1946	stop use my famous duck face ? ? ? ? ? ? ( not in all my picture but some ) ... okay bye now
3248	hand drive all time , proper spelling & amp ; punctuation in texting , no use of lol , swear less , be active , sleep early .
3003	my new years resolution be to listen to listen to more old school blue musician . today be lightning hopkins . mojo hand
1433	be more about focus and growth for i in
4202	my be to be more organized . what app help you stay organize ? crowdsource
3096	new years resolution i will never say wow . just wow . destroyallcliche
2923	my new year resolution be that this year i be deal with no nonsense ... and i mean that- yall will be cut .
645	ok guy be go to finally be the year i lose my virginity .
1050	no more single use disposable plastic for i ! zero new years eve image
3665	be there a way to increase your spice tolerance ? if so , that be my ? ?
4095	find out what i have to do to finally be happy
4406	wearable tech underpant
121	no new enemy . i be already spend too much time plot revenge as be .
2053	manage my time and money a lot wise .
4261	finish my novel
4891	think my s b just throw it all out the window , let my hair down & amp ; be crazy . at least once - just do whatever i want !
4190	i be just about a week out from my birthday and the start of one hell of a .
4694	i would love to give up control of my orgasms in ! orgasmdenial chastity
135	expand my large lipstick collection even moreeeeee ? ? ? ? ? ?
2461	same . i love food i love money no ! just keep do it . we all perfect ? ? ? ? new years resolution eat more ? ? ? ?
1955	my be to publish a couple of book finally ! new year new
2464	new years resolution never give up on something i really want .
185	resolution one i will live for god . resolution two if no one else do , i still will . -johnathan edwards
1393	hey girl next year we all meet at bull 's place for group hug !
2277	my new year resolution be to be perfect
512	figure out who i be
4732	god willing read the whole bible get on board with & amp ; continue my pray ? ?
4056	my be to make more money . thank to that be possible !
3138	become the fun person i use to be .
2670	my new years resolution be to be less condescend ( that mean talk down to people in a patronizing way )
3999	to meet you ! ? ?
4864	next year i will wear more clothe besides just hoodie and sweat
2118	new years resolution ? mile on the bike .
252	my be to be less depressed . which , in itself , be very depressing . oh geeze , here we go again ...
3527	. say i love you & amp ; ' mean it .
3560	to eat so much this christmas by new year i can have my own boob avi
4013	what be your ? to get all da bitchez
1508	meet ? ? ? ? ? ? ? ? ? ?
123	throw back to when i have meat on my bone . i will get it back .
4655	my goal be to focus more on my study calendar and complete daily task take small step to reach my target
3334	this be how i??m live a connected life in . attcrowd ad
1872	do not be friend with so many fake bitch ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
3694	get more piercing
568	i really need to stop use so many dang exclamation mark all the time ! ! ? ?
1372	be intensely excited to be myself . write a novel . start a vegetable garden . finish undergrad and start grad .
3186	i rly rly want blonde hair
3957	my new years resolution be to stop make promise to myself that i can not keep ... wait .
1057	also this year i be determined to try sushi for the first time . i hear it be make of raw fish ! yuck
857	$ away from my goal . i will get there , slowly but surely . toronto i will be in you again .
3840	ask if you be on god 's side rather than if god be on your side .
2861	as a new years resolution , i be go to aspire to become more like .
4772	find out what be your shallow desire and instead find an environment that nourish the deep inner desire for god findgod
777	i be so busy my new year 's resolution be to come up with a new year 's resolution for next new year 's eve .
721	be less perfect
2711	my new years resolution be to actually practice every day cause i be a working musician . also to get less shrimpy by eat and work out .
2655	new years resolution stop drunk texte my entire contact list
4880	work on health fitness and motivation be the kick of a great year
603	happy new year to go to more game this year
4762	i most importantly pledge to be as kind caring and good to , because she be a beautiful kind and great girl
1245	be more involved within the comic_strip medium . community , event , discipline , determination ; perhaps a publish work ( ? ) .
4848	i only one . read all of book and then apply they to my life .
4985	my be to not have a resolution
319	be my good selfie .
829	complain less , be more thankful and relax more with family & amp;friend
3264	wait for fb video to load before i get piss off at their existence .
275	be so horrible for i be to not make the same mistake and do not look back !
2665	my new year resolution be to become
550	let us spice thing up a bit in i plan to eat more red meat , exercise less , and become a recluse .
3730	start the year right with healthy thinking . leave negative thought in the past .
4055	debate on join a gym as a new year resolution .... keep weight off once and for all ... new year debatable debate
4895	get well nude lol
2935	barbie i be once an electrical engineer ! to look that good past and have that many profession ... new years resolution- be barbie .
606	unfollow everyone tonight who put up a stupid instagram
897	to give no fuck .
528	improve not only self esteem , but everyone be around i as well
4610	make my friend my family and make my family my friend
2348	new year resolution use the phrase and late a lot more often
3440	be you make any ? ? ? ? i be think on a few - write more , read & amp ; review more , and stay true to myself . sound good ?
3774	my be to stop smokin fr ! ! ! !
4829	my new years eve resolution be to get healthy , meditate more , have fun more,&amp ; support more cause ? ? ? ? ?
4770	look forward to the new year ! and the new plexus challenge ! who want to get healthy with we ? new year new you
299	colleen 's share in tweet . goal start save to buy a home . money becomingresponsible
2120	new year resolution eat chicken nugget everyday
2537	make any new years resolution ? i to not say sorry after i express how i feel . like how your resolution be so pretent ? ?
4205	if all go well , i will be live in brooklyn by this time next year work from a home studio & amp ; soak in the city .
3255	the last half of this year , i have slowly remove all unnecessary drama and the people involve with it .
4607	itsthattimeofyear why not do it together ) i be look for friend to do a day ? ?
1261	my be to not post my facebook year - in - review video . you??re welcome .
1559	this year i will watch all extend lordofthering movie back to back . and it start now ! ! lotr the hobbit
3270	wake up hour early every day . start a podcast . yes this be totally sincere .
4048	all dolle up and no wear to go ? ? ? ? ? ? i be go to work on that this year
757	social entrepreneurism meets sustainable philanthropy - make a difference in !
1011	learn how to friggin park cuz after month of drive i still suck at it
2795	new year resolution be to produce a druggie anthem for
2906	? ? ? new years resolution
1871	happy ! ? ? here be to take more risk and work hard . ? ? ? ? ? ? ?
2230	my new year resolution be to eat more burrito
1174	as always , my be to be more like tom brady .
1833	start with nocreditcarddebt nodebtdiet let keep it that way be the year
377	look homeless more often . newyearnewme
4664	my money , money , money ? ? ? ? ? ? ? ? ?
3618	be to learn why johnny say no
799	learn to say , i too , guy ! in as many language as possible .
379	last workout of the year more gym time
1159	hate cat more
3821	christmas be over so move on to - serve more , laugh more , connect more . love life
2793	wellp already break my new years resolution of not fall off the toilet and break both leg again
2241	new years resolution be to hit leg time a week
4037	my be to make more money . thank to that be possible !
2663	? ? ? new year resolution jack gilinsky ? ?
4014	i be go to tell every woman that their legging be see - through because they all be
2958	apology to all the good girl i turn bad be my new year resolution
3929	almost time for the . first on my list be to travel more .
1039	happy new year ! how about a for the planet ? i support with a daily tweet . ? ?
3260	try to live in the now my for
1345	here be to avoid work out at the gym for the next - . cold garage it be ! ! fitfam gymstruggle gymlife
2506	my new years resolution be to take more picture . i do not get a single picture last night .
1722	be to think what would do ? ( wwkkd ? ) as often as possible
4666	maybe stop destroy myself and my relationship .
176	- accept that i can not be the same parent that my mom be . i will make mistake and that be okay .
4896	try some different shoe size .
1910	my be to change my twitter bio . might get around to it might not . do not wanna set myself up for disappointment .
46	mmt i be set myself , or at most , goal for . yes but with indicator ! sdg
3410	hope everyone be enjoy their christmas holiday & amp ; look forward to see in the new year ! m ? ?
4677	one of my 's be to tweet more . i semi - forget about this app most of the time . illdobetter
1076	i would like to be more straightforward this year , please . ? ?
2830	new years resolution do not die ok , maybe i set the bar a little high
1505	my be to remember to write and not .
2310	my only new years resolution be to do well than i do last year ? ? ?
1437	start a cleanse today ! eat nothing but juice kale for day . detox justkidding coffeeandchocolateforbreakfast
2419	my new years resolution
4753	this new year my resolution be to drink wine and to have sex . i like to keep thing manageable .
3099	new years resolution god ? ? family ? ? basketball ? ?
4591	to mortally wound anyone who say , it be what it be .
284	if i do not graduate from college in , i be legally change my name to van wilder .
4921	think i may try this .
843	oh .. this be ironic .
1514	stop put so much pressure on myself to be perfect .
1169	my be to begin read more often at night ! ! a chapter a night a sport book , most likely ! need it
1593	work toward my goal of step into the ring this year ! be the year muay thai
3461	day off of artificial sweetener . my be to ween myself of it go from soda a day to no aspartame in .
3166	about that sober life to focus on my music
2285	my new years resolution be to make shit weird , and ride or die like a motherfucker . so enjoy that .
3577	to actually work out and not be lazy about it
4873	... to take care of myself before worry about other that do not have my good interest
2306	finally do with my new year resolution list ! so ready for .
953	my be to actually use all of the deal on my calendar card this year . realisticresolution
4945	my for be to become blonde again without all my hair fall out . )
3054	? ? ? ? ? ? guy my new years resolution be for i not to be an asshole ... ? ? you be so nice though i know !
4562	my mom get my right when she say , i hope this be the year that you find a charming british man to have child with .
2686	my new year resolution be to get to know oomf
1490	buy a house and live like hugh hefner stillinbe
928	to book more sandal trip . love sandals ! !
1210	day well i do it , daily tweet for show tickets and or ticket for my continue it !
4079	let the resolution begin ! fail resolutions diet weightloss
3546	a great for live with no excuse & amp ; love with no regret
4385	offend more people hahaha yes ! ! ? ? ? ? ? ? ? ? ?
1922	one of my be literally to work on my flirt and flirt more this year lmao
352	new years resolution i will always wear a helmet and i will not crack any rib snowboard this year !
4901	my wife say she be to be more responsive to our dog ... mine be to let she ! new years eve
3394	turn task into habit productivity simple step that make a difference
2722	new years resolution grow spiritually . ( hebrews )
4984	it look like i will be keep my year end resolution . my will be the real test . but i think i can do it .
719	i realize when i go out i m too busy loookin for dude i get smoke with than bitch i know .
2703	make any new years resolution ? i to not say sorry after i express how i feel . like how your resolution be so pretentious ..... sorry .
2723	my new years resolution be to have an opportunity to talk with bout life i gradua ? ?
4564	this come year , i promise to atone for my sin by admit i use to laugh at family guy .
309	learn ! to use ; punctuation , , properly
1676	one thing i miss out in the last years- conversation on twitter . lot of people to connect with and talk to in
834	thought of a resolution after all . no fast food in .
367	stand firm on principle ; but do it with a listening ear & amp ; respect , understand that it will not ? ?
4509	we can start they early -- get a head start ! ! ! make kill pound stop kill sweet cat pet !
2079	my - live long enough to see hail state beat ga tech in football . hard than one might think ! happy new year
4040	i resolve to look at twitter less
3765	i well enjoy my freedom while it last ! be right around the corner ! chastity for
4136	let we strive to know the lord hosea - lovemychurch preachestruth straightfromtheword
1747	happy new years folk ! ! ! more coffee ! ! hahaha ? ? ? ? ? ?
20	also , date woman my own age . not to say it be their fault , only a seasoned woman can put up with my idiocy .
1323	un friende the white folk
3569	i just wanna be as happy as the ppl that be on my chemistry book pretend to be
2522	new years resolution walk my cat on a leash .
219	hate everyone oh look at a great start ? ?
1488	hate hoe be not happy & amp ; happy hoe be not hate -better check your situation ? ? ? ? ? ? ? ? we get to win cause the rest be losin ? ? ?
439	my be not to make a new years resolution - should be easy to keep , right ?
3689	- to help as many entrepreneur as i possibly can with funding and consulting so that they may experience growth
2751	my new years resolution be that i be go to stop reply to my own tweet
3289	time to get motivate for . positive thought
3434	buy a new truck ? ? ? or f - sport justwaitonit
2526	new years resolution . haha fatyear cuban tampa
4653	glad to have my folk with we . be good overall . i hope next year will be bless for we and our family prayer
3690	the year of idea .... - the year of execution !
2764	my new years resolution be to get rid of my double chin - ) )
803	take a penny , leave a penny .
2998	new years resolution ride well
2229	new years resolution good time management , good grade , and good lift
3725	i be not go to tell you black lives matter i be go to continue show you .
2078	write more book kill more stark .
583	i want my to be drink more
204	promise next year i will not eat any more sweet . oh look , fruit salad . new years eve
4044	still think of my . i be actually go for two attainable one this year , one help other , and both help i . doit
3479	my be to make more money . thank to that be possible !
2930	new year resolution . ready to start with healthy choice , emotionally and physically . great start .
3086	my new years resolution be to not look so mean ?
1019	happy new year ! how about a for the planet ? i support with a daily tweet . ? ?
1584	this year i be go to focus on work on my ass . literally . a beautifully booty be a sad thing to waste .
1033	make the same mistake and learn the same lesson i do in , .... .
1719	my to try not to be such a black sheep of the family . to find my place in this world . to not be lose within myself
1282	... win state ? ? ? ? ? ? ? ?
2499	my new years resolution be to not go out for new years next year . hello pajama and netflix !
3351	i be already try to make a to be nice to liberal & amp ; democrats set myself up for failure . just sayin
518	noshade but i m a keep my relationship ish to myself from now on nobodiesbusiness
1748	get a san diego body with and ? ? ? ? ?
4367	get to cut out my sugar and sodium salt addiction for .. all my other addiction i be happy with ; o )
3734	it be a christmas miracle , my be to eat a whole donut .
669	be well than everyone else . oh wait i already be ? ?
3574	i be here to save the world . damn it feel good . daily miracles . join the evolution resolution what be you here ?
3027	new years resolution be to tell everyone the truth .
4914	i srsly have the bad sleeping habit .. ? ?
3287	i wana be one of the new r&amp;b artist fresh on the scene in bet driven mtv musicmatters
2651	my new years resolution be to get one thing off my chest . i never like danza kuduro ... there i say it . big weight off my shoulder .
4353	what be your ? mine ? spend more time w family , get down to , & amp ; start the business i have be think about goal
3193	be year month , haven??t photograph new york city , to carry my dslr whenever be out walk in manhattan n shoot .
2125	new years resolution stop over think everything
3376	teach i your way !
3393	i need to use a new emoticon
3486	dance music for muscle
760	my be to hopefully find love that can fill the empty whole in my heart .
3380	? ? ? ? ? ? ? ? ? ? ? ? do not sit around wish and hope getup getout and do something do not let yourself down
4443	resolution no . write every day . oops cheat there .
2527	new years resolution be to set my expectation low that way i will be disappoint less , and pleasantly surprise more o ? ?
4861	new years plan new years eve
908	here be a i can confidently endorse stop diet ! dropthediet starttheyearright
2684	i say last night i m go to be healthy this year . and i just eat leave over chinese again and m&amp;ms . new years resolution .. go .
215	see unbroken last night so my new be to marry jack o'connell
3332	live for the moment you can not put into word . lincoln city oregon
3629	dress well , get money & amp ; stunt on my old hoe .
694	this new year i will focus on less instead of more . weigh less , spend less , work less , miss less , forget less .
1504	happy new year commitment create peace on earth . it do not just happen . worldpeace
2415	new years resolution no smoking , drinking , partying , nothin . ? ? ? ? ? ? ?
2119	my new years resolution be to teach a gamification mooc . oh look ! there be one start ! set the bar low
3860	time to start eat healthy again ! thank
2463	new year resolution stop listen to .
4400	throw toast off the overpass
4351	eat more chipotle
4481	fight everyone in the world
197	my be to wake up every day and try not to hate my life lol
4089	my be to make more money . thank to that be possible !
1544	eliminate obscurity through connection
1331	newyearseve workout ! nodaysoff we stay work hard . so there be no for i ? ?
880	have my last in n out burger yesterday and omy for my last ? ? ?
4505	my be to be tall .
3502	produce more , consume less .
3896	just make a bet that if by the end of i hav a body like i will get $ ? ? ? ? ? ? goal
4993	love it ! my be ... bring on the pony polo & amp ; time with friend
888	hour & amp ; min leave til the new year what be your mines to get rid of all the negative crap & amp ; make room to grow ? ? ? ? ?
1346	happy new year now to get start on my shoot more film filmisnotdead
69	talk less . touch more . tsa
4029	get noticed by and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
1816	be to get my sharks headline on
569	go from goth to cyber goth
2168	new years resolution make a mil
97	my to be backstage for one of 's performance ! ? ? ? ? ? ? music love this moment
4183	get my creative writing resume pump up . when i graduate in i want to be unstoppable . screenwriting
3354	rp jayraw ? ? ? ? ? ? ? ? ? i be emotionally tired of worry about who be down with i ? ?
140	my be to appreciate my friend more . also to get friend .
4957	this year i m go to do everything about the same as always have .
2603	happy my new year resolution be to watch every episode of jimmy neutron ever this be not a joke
4025	my be to hug more ppl and make more ppl happy ! ! everyone matters ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
4726	get organize ! new year
1607	? ? ? stop wear big tshirt and spirit jersey everyday to school ? ? ? ? ? ? ? yea that be not happen ? ? ?
1630	new year resolution . stop drink orange juice after brush my tooth . oh and eat more bacon .
1540	not to be take advantage of .. ? ?
1695	my disconnecting from work after hour by hr m ? ?
2060	give up fast food for a whole year .... i only make it hour . well i guess there be always next year ? ? ? ?
464	- find a girl that can perform michael jackson 's dirty diana at karaoke & amp ; marry her asap .
2331	my new year resolution be
3044	i can not decide whether my new years resolution to be more decisive be a good idea or not .
4797	dramatically swig whiskey from the bottle whenever i be upset
595	to go to more twin game !
3816	feel fat . think about do sprint & amp ; eat chicken chili .
626	everyone new year resolution be always the same . mine be just to get shitface drunk more . easy money start tonight ? ? ? ?
451	real goal i will not be pressure by that gay mac makeup - artist to buythat lipstick he say make melook like beyonc ? .
1500	eat all the chicken finger in the world
2457	i have not curse all day . my new years resolution be work out pretty well now .
4725	in , i vow to plunge more toilet because i just do not plunge the freaking toilet enough around my house ! dad
2985	... and i just decide i wanna do am run as my new years resolution .
1570	to stop try to give the world to people who do not deserve even a smile from my mouth .
1035	his new year i want to be close to god and take other people with i .
3519	stop the liberal .
1558	wait , castle hunters be a real thing ( i.e. show on hgtv of people buy castle ) ? i find my new goal in life ...
3626	? ? ? stop swear ? ? ? ? ?
4667	three year ago i make a to lose weight and live healthy . i lose lbs . this year i resolve to lose the last .
151	friend i be finish with white woman , that be my i you say that last year . friend i mean it this year . i i hear ya
1421	to quit copenhagen fall to the wayside as my resolution to not kill anyway seem a bit more important .
2012	the engage more in the word for the girl . ? ? ? ? ? ? ? ?
2687	i already break my new years resolution . ; - ; but zebra cakes smother in syrup be such a good breakfast ...
1787	be a badass , as usual
89	out with the old and in with the new
458	my be to be more of a lighthouse and less of a lifeboat .
1306	my be to watch more baseball . happy new year
2926	new years resolution stay away from fuckboy
3271	this the .. we get to be the winner cuz the rest be losing&lt;&lt ;
3228	be light year well than & amp ; now i must make well than ... game on
1989	dare to be great
3756	continue to show up at least minute to an hour late to whatever time i tell you i be go to be there .
3648	we should probably stop call his baby timberbiel if he be go to take we seriously .
832	few trip to paunch burger .
240	i will be post a pic of jim harbaugh on my cousin 's fb page everyday for the next year . just because
4684	go to new york city new year
3023	new years resolution see more movie . be slate to be a monster year for cinema !
3149	maybe i will tone it down in .
1947	read before i tweet so i have no more typo do great thing ? ? ?
2776	new years ' resolution spend more time do this ( and less do that ! ) woman
193	i would like to be a less grumpy commuter , but i work in times square .
3937	continue to keep a clean record ? ? ?
3845	come january , i will be the big bitch anyone have ever see . tired of your shit take back my life happiness
945	same as last year
1269	my be to make friend that have good new years resolution . new years eve
4233	spiritual evaluation
2308	new years resolution ... cut off the backstabber . ? ?
4998	tomorrow i start because , and it comes highly recommend .
4714	my new years resolution be to be more punctual . so i make it two month ago . thedrunkene
2314	my new years resolution be to watch the winter classic through the glass floor of my charter dirigible
3215	... go toward the love ! leave the angry to themselves .
2733	new years resolution i just make never again shop at dillard 's on new years day .
1927	new years resolution see live .
4229	i have decide to change it up a bit today and be embrace anarchy . husband confuse . kid hungry . n ? ?
3849	have to get that workout in then ball it up a little bit
801	. do not steal your good friend girl .
4635	do not take no shit in .
4195	cut down on your screen time by one hour a day for . ( yeah ... i should too ! ) encouragement you be worth it
2969	my new years resolution be to take every day as it come and do whatever need to improve myself on all different aspect realworld
4796	time to dust off that old beachbody fitness program & amp ; join the online fit challenge ! fitness
4371	try to be more positive in my life & amp ; be more motivated to do thing . ? ? ? ? ? ? ? ?
2777	my new year resolution be to not tell anybody my new year resolution . y'all be too fucking nosey ? ?
2971	my new years resolution be to start do what be good for i , and to be happy . that definitely go into effect today .
3800	i really should start screenwrite again ...
1744	to find somebody that will never get tired of you ..
3950	in i want to discover my personal style and overhaul my wardrobe . ? ? ? ? ? ? ? ?
3804	keep grind mark tucker .
2025	my new years resolution be just like last year
2275	my only new year resolution be to wear more hot pink
