	model	number of topics	topic id	topic words	text id	paper id	text	labels	llm_model	llm_model	under_coverage_example	over_coverage_example	under_coverage	over_coverage
10	lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	378501	6572	two representative freshwater fish specie , the bluegill sunfish ( Lepomis macrochirus ) and the channel catfish ( Ictalurus punctatus ) , and two representative freshwater shellfish species , a unionacean clam ( Elliptio complanata ) and the northern crayfish ( orconecte virilis ) , be expose separately to two application of [ , with d between the two dosing .	irrigation canals | glycerol | clams | Ictalurus punctatus | metabolism | Lepomis macrochirus | crayfish | shellfish | metabolites | irrigation water | freshwater	gemma-large	gemma-large	"[""'fish',\n'shellfish',\n'species',\n'exposure',\n'dosing',\n'toxicology'\n]"", ""'fish',\n'shellfish',\n'species',\n'exposure',\n'dosing'\n]"", ""'fish',\n'shellfish',\n'species',\n'exposure',\n'dosing',\n'toxicology/testing'"", ""'fish',\n'shellfish',\n'species',\n'exposure',\n'dosing',\n'toxicology'\n]"", ""'fish',\n'shellfish',\n'species',\n'exposure',\n'dosing',\n'testing'\n]\n<end_of_turn>""]"	"[""'irrigate',\n'industrial',\n'reclaimed'\n]"", ""'irrigate',\n'industrial',\n'reclaimed'\n]\n\n**Reasoning:**\n\nThe document focuses on the effects of a"", ""'irrigate',\n'industrial',\n'reclaimed'\n]\n\n**Reasoning:**\n\nThe document focuses on the effects of an"", ""'irrigate',\n'industrial',\n'reclaimed',\n'municipal'\n]"", ""'irrigate',\n'industrial',\n'reclaimed'\n]""]"	5.8	3.2
11	lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3083	23202	the impact of water user ’ association on the productivity of irrigate agriculture in Pakistani Punjab	energy | land resources | irrigated farming | groundwater | farms | energy resources | productivity | surface water | Pakistan | water resources	gemma-large	gemma-large	"[""'water user association',\n'productivity',\n'agriculture',\n'Pakistani Punjab'\n]"", ""'water user association',\n'productivity',\n'agriculture',\n'Pakistani Punjab'\n]"", ""'water user association',\n'productivity',\n'agriculture',\n'Pakistani Punjab'\n]"", ""'water user association',\n'productivity',\n'agriculture',\n'Pakistani Punjab'\n]"", ""'water user association',\n'productivity',\n'Pakistani Punjab'\n]""]"	"[""'wastewater',\n'treat',\n'effluent',\n'reuse',\n'sewage',\n'industrial',\n're"", ""'wastewater',\n'treat',\n'effluent',\n'reuse',\n'sewage',\n'industrial',\n're"", ""'wastewater',\n'treat',\n'effluent',\n'reuse',\n'sewage',\n'industrial',\n're"", ""'wastewater',\n'treat',\n'effluent',\n'reuse',\n'sewage',\n'industrial',\n're"", ""'wastewater',\n'treat',\n'effluent',\n'reuse',\n'sewage',\n'industrial',\n're""]"	3.8	7.0
12	lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	156634	44997	the yield reduction be   in rainfe treatment ,   when irrigate in G t period , and   when irrigate in G H stage .	irrigation systems | winter wheat | sowing date | yield prediction | agricultural water management | canopy cover	gemma-large	gemma-large	"[""'yield reduction',\n'rainfed treatment',\n'growth period',\n'growth stage'\n]"", ""'yield reduction',\n'rainfed treatment',\n'growth stages'\n]"", ""'yield reduction',\n'rainfed treatment',\n'growth stage'\n]"", ""'yield reduction',\n'rainfed treatment',\n'growth stage'\n]"", ""'yield reduction',\n'rainfed treatment',\n'growth stages'\n]""]"	"[""'wastewater',\n'effluent',\n'reuse',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'wastewater',\n'effluent',\n'reuse',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'wastewater',\n'effluent',\n'reuse',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'wastewater',\n'effluent',\n'reuse',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'wastewater',\n'effluent',\n'reuse',\n'sewage',\n'freshwater',\n'industrial',\n'""]"	3.2	7.0
13	lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	27710	3126	hence , they can play an important role in wastewater reuse .	drinking water | water reuse | groundwater recharge | aquifers | requirements | vegetables | health protection | wastewater treatment | water storage | water quality | health | microbial contamination | pollution | public health | pathogens | irrigation water	gemma-large	gemma-large	"[']\n\n**Explanation:**\n\nThe document\'s core theme is ""wastewater reuse"".  All the key concepts within this short document – wastewater', ""]\n\n**Explanation:**\n\nThe document's core theme is wastewater reuse. The topic word set *includes* 'wastewater' and '"", ']\n\n**Explanation:**\n\nThe document\'s core theme is ""wastewater reuse"".  The topic word set *includes* \'wastewater', ']\n\n**Explanation:**\n\nThe document\'s primary theme is ""wastewater reuse"". All the keywords relating to this theme (wastewater,', ']\n\n**Explanation:**\n\nThe document focuses on the role of something (implied subject ""they"") in ""wastewater reuse"".\n\nAll']"	"[""'irrigate',\n'treat',\n'effluent',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'irrigate',\n'treat',\n'effluent',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'irrigate',\n'treat',\n'effluent',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'irrigate',\n'treat',\n'effluent',\n'sewage',\n'freshwater',\n'industrial',\n'"", ""'irrigate',\n'treat',\n'effluent',\n'sewage',\n'freshwater',\n'industrial',\n'""]"	0.0	7.0
14	lda	50	2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	231934	27171	faecal pollution on vegetable and soil drip irrigate with treat municipal wastewater	Escherichia coli | risk | Salmonella | wastewater irrigation | microbial contamination | activated sludge | field experimentation | microirrigation | soil | vegetable crops | screening | irrigation water | Cryptosporidium | porosity | denitrification | Italy | human health | pollution | sand | chemical precipitation | filtration | vegetables | chlorination | food contamination | municipal wastewater | phosphorus | coliform bacteria | drip irrigation | bacterial contamination | Giardia	gemma-large	gemma-large	"[""'faecal pollution',\n'vegetable',\n'soil'\n]"", ""'faecal pollution',\n'vegetable',\n'soil'\n]"", ""'faecal pollution',\n'vegetable',\n'soil'\n]"", ""'faecal pollution',\n    'vegetable',\n    'soil'\n]"", ""'faecal pollution',\n'vegetable',\n'soil'\n]""]"	"[""'freshwater',\n'industrial',\n'reclaimed'\n]"", ""'freshwater',\n'industrial',\n'reclaimed'\n]"", ""'freshwater',\n'industrial',\n'reclaimed'\n]"", ""'freshwater',\n'industrial',\n'reclaimed'\n]"", ""'freshwater',\n'industrial',\n'reclaimed'\n]""]"	3.0	3.0
15	lda	50	3	land food risk vegetable metal country human health heavy contamination	328932	40667	the connection of copper accumulation in soil with dietary and ecological risk be also briefly illustrate .	soil quality | copper | irrigation water | soil | irrigation | climate change	gemma-large	gemma-large	"[""'soil',\n'copper',\n'ecological'\n]"", ""'soil',\n'copper',\n'ecological'\n]"", ""'soil',\n'copper',\n'ecological'\n]"", ""'soil',\n'copper',\n'ecological'\n]"", ""'soil',\n'copper',\n'ecological'\n]""]"	"[""'country'\n]\n\n**Reasoning:**\n\nThe document discusses copper accumulation in soil and its relation to dietary and ecological risk. Let'"", ""'country'\n]\n\n**Reasoning:**\n\nThe document discusses copper accumulation in soil, its connection to dietary and ecological risk. Let'"", ""'country'\n]\n\n**Reasoning:**\n\nThe document discusses copper accumulation in soil, its link to dietary intake, and ecological/health"", ""'country'\n]\n\n**Reasoning:**\n\nThe document discusses copper accumulation in *soil* and its link to *dietary* and"", ""'country'\n]\n\n**Reasoning:**\n\nThe document discusses copper accumulation in soil and its relation to dietary and ecological risk. Let'""]"	3.0	1.0
16	lda	50	3	land food risk vegetable metal country human health heavy contamination	29037	44396	research in - on ordinary heavy loamy chernozem of the experimental field of the Birutchecutskaya Vegetable Experimental Station – branch of FSBSI Federal Scientific Vegetable Center ( Rostov Region , Novocherkassk ) with a new variety of tomato Krasny banker .	drip irrigation | quality | mineral fertilizers | productivity | agriculture	gemma-large	gemma-large	"[""'research',\n'variety',\n'experimental station'\n]"", ""'research',\n'variety',\n'experimental station',\n'location'\n]"", ""'research',\n'variety',\n'experimental station',\n'branch'\n]"", ""'research',\n'variety',\n'experimental station',\n'branch',\n'location'\n]"", ""'research',\n'variety',\n'experimental station',\n'branch',\n'location'\n]""]"	"[""'risk',\n'metal',\n'contamination'\n]"", ""'risk',\n'metal',\n'contamination'\n]"", ""'risk',\n'metal',\n'contamination'\n]\n\n**Reasoning:**\n\nLet's analyze each topic word in relation to"", ""'risk',\n'metal',\n'contamination'\n]"", ""'risk',\n'metal',\n'contamination'\n]""]"	4.2	3.0
17	lda	50	3	land food risk vegetable metal country human health heavy contamination	198954	37188	in particular , it should ensure that beneficiary have the know - how and funding to work the land which they be allocate .	privatization | land policies | farm transfers | land subdivision | private land | agricultural development | irrigation	gemma-large	gemma-large	"[""'funding',\n'beneficiary',\n'know-how',\n'allocation'\n]"", ""'funding',\n'know-how'\n]"", ""'funding',\n'know-how',\n'beneficiary',\n'allocation'\n]"", '""funding"", ""know-how"", ""allocation""\n]', ""'funding',\n'know-how',\n'allocation'\n]""]"	"[""'food',\n'risk',\n'vegetable',\n'metal',\n'country',\n'human',\n'health',"", ""'food',\n'risk',\n'vegetable',\n'metal',\n'country',\n'human',\n'health',"", ""'food',\n'risk',\n'vegetable',\n'metal',\n'country',\n'human',\n'health',"", ""'food',\n'risk',\n'vegetable',\n'metal',\n'country',\n'human',\n'health',"", ""'food',\n'risk',\n'vegetable',\n'metal',\n'country',\n'human',\n'health',""]"	3.2	8.0
18	lda	50	3	land food risk vegetable metal country human health heavy contamination	64412	34096	the investigation be conduct in the farmland along the Fuhe River to explore characteristic of heavy metal in soil and grain of wheat and maize from a long - term sewage - irrigate area of baoding region .	wheat | crops | China | cadmium | mercury | risk | lead | sewage | topsoil | human health | agricultural land | irrigation | nickel | food safety | soil sampling | rivers | arsenic | heavy metals | groundwater | chromium	gemma-large	gemma-large	"[""'river',\n'irrigation',\n'region'\n]"", ""'river',\n'irrigation',\n'region',\n'investigation'\n]"", ""'river',\n'irrigation',\n'geographical location'\n]"", ""'river',\n'irrigation',\n'region'\n]"", ""'river',\n'irrigation',\n'region'\n]""]"	"[""'country',\n'human',\n'health'\n]\n\n**Reasoning:**\n\nLet's analyze each topic word in relation to"", ""'vegetable',\n'country',\n'human',\n'health'\n]"", ""'country',\n'human',\n'health'\n]"", ""'country',\n'human',\n'health'\n]\n\n**Reasoning:**\n\nLet's analyze each topic word in relation to"", ""'country',\n'human',\n'health'\n]""]"	3.2	3.2
19	lda	50	3	land food risk vegetable metal country human health heavy contamination	101687	38081	farmer ’ risk aversion and loss aversion be elicit use incentive - compatible risk experiment .	credit | China | risk | regression analysis | crop diversification | irrigation | household income | climate change adaptation | climate change | farmers	gemma-large	gemma-large	"[""'farmer',\n'incentive',\n'experiment'\n]"", ""'farmer',\n'incentive',\n'experiment'\n]"", ""'farmer', 'incentive', 'experiment', 'aversion'\n]"", ""'farmer',\n'incentive',\n'experiment'\n]"", ""'farmer',\n'incentive',\n'experiment'\n]""]"	"[""'land',\n'food',\n'vegetable',\n'metal',\n'country',\n'health',\n'heavy',"", ""'land',\n'food',\n'vegetable',\n'metal',\n'country',\n'health',\n'heavy',"", ""'land',\n'food',\n'vegetable',\n'metal',\n'country',\n'heavy',\n'contamination'"", ""'land',\n'food',\n'vegetable',\n'metal',\n'country',\n'contamination'\n]"", ""'land',\n'food',\n'vegetable',\n'metal',\n'country',\n'health',\n'heavy',""]"	3.2	7.4
20	lda	50	4	root dry leaf fruit number weight leave matter shoot stem	349960	5207	a strong positive effect of rice root exudate on methane production imply that cultivar selection for low methane emission should not only be base on the gas transport capability but also on the quality and quantity of root exudate .	crop management | root exudates | soil microorganisms | soil temperature | soil pH | redox potential | rice soils | methane | gas exchange | nitrogen fertilizers | soil organic matter | parenchyma | water management | Oryza sativa | irrigation | losses from soil | oxidation	gemma-large	gemma-large	"[""'methane production',\n'cultivar selection',\n'gas transport'\n]"", ""'methane production',\n'cultivar selection',\n'gas transport'\n]"", ""'methane production',\n'cultivar selection',\n'gas transport'\n]"", ""'methane production',\n'cultivar selection',\n'gas transport'\n]"", ""'methane production',\n'cultivar selection',\n'gas transport'\n]""]"	"[""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter',\n'"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter',\n'"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter',\n'"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter',\n'"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter',\n'""]"	3.0	8.0
21	lda	50	4	root dry leaf fruit number weight leave matter shoot stem	247439	12050	the number of rot root be increase with the defoliation level and be significantly high for SD sugar beet ( root ) .	Macrophomina phaseolina | spring | Fusarium | Greece | Corsica | irrigation | Rhizopus stolonifer | sugar beet | sugars | Thanatephorus cucumeris | water stress | cultivars | defoliation | Beta vulgaris	gemma-large	gemma-large	"[""'increase',\n'defoliation',\n'significantly'\n]"", ""'increase',\n'defoliation',\n'significantly'\n]"", ""'increase',\n'defoliation',\n'sugar beet',\n'significantly high'\n]"", ""'increase',\n'defoliation',\n'significantly'\n]"", ""'increase',\n'defoliation',\n'significantly'\n]""]"	"[""'dry',\n'leaf',\n'fruit',\n'leave',\n'matter',\n'shoot',\n'stem'\n]"", ""'dry',\n'leaf',\n'fruit',\n'leave',\n'matter',\n'shoot',\n'stem'\n]"", ""'dry',\n'leaf',\n'fruit',\n'leave',\n'matter',\n'shoot',\n'stem'\n]"", ""'dry',\n'fruit',\n'leave',\n'matter',\n'shoot',\n'stem'\n]"", ""'dry',\n'leaf',\n'fruit',\n'leave',\n'matter',\n'shoot',\n'stem'\n]""]"	3.2	6.8
22	lda	50	4	root dry leaf fruit number weight leave matter shoot stem	274350	24154	linear negative correlation be observe between K ᵣ and the excise root diameter as well as between K ₛ and the shoot stem diameter .	Prunus persica | nitrogen content | peaches | hydraulic conductivity | nursery stock | nitrogen | nitrogen fertilizers | shoots | leaf area | soil water | irrigation | seedlings | soil water content	gemma-large	gemma-large	"[""'correlation'\n]"", ""'correlation'\n]"", '""correlation""\n\n]', ""'correlation'\n]"", ""'correlation'\n]""]"	"[""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter'\n]"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter'\n]"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter'\n]"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter'\n]"", ""'dry',\n'leaf',\n'fruit',\n'number',\n'weight',\n'leave',\n'matter'\n]""]"	1.0	7.0
